.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130401_20170505_01_T1.jpg,6135331
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130513_20170504_01_T1.jpg,6086265
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130630_20170503_01_T1.jpg,7531605
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130716_20170503_01_T1.jpg,7739340
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130801_20170503_01_T1.jpg,8476713
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130817_20170502_01_T1.jpg,6344517
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20130902_20170502_01_T1.jpg,8357694
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20131105_20170428_01_T1.jpg,7941127
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20131121_20170428_01_T1.jpg,5720646
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20131223_20170427_01_T1.jpg,6628698
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140108_20170426_01_T1.jpg,6048880
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140124_20170426_01_T1.jpg,6118007
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140209_20170426_01_T1.jpg,6562463
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140225_20170425_01_T1.jpg,4505987
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140313_20170425_01_T1.jpg,8135142
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140329_20170424_01_T1.jpg,5259680
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140601_20170422_01_T1.jpg,6833649
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140617_20170421_01_T1.jpg,8269369
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140703_20170421_01_T1.jpg,6302576
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140719_20170421_01_T1.jpg,8329423
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140820_20170420_01_T1.jpg,7946224
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20140905_20170419_01_T1.jpg,6286216
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20141108_20170417_01_T1.jpg,7622452
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20141226_20170415_01_T1.jpg,7648108
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150111_20180130_01_T1.jpg,6479353
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150316_20170412_01_T1.jpg,4176700
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150401_20170411_01_T1.jpg,4655631
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150620_20170407_01_T1.jpg,9034552
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150722_20170406_01_T1.jpg,5991648
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150823_20170405_01_T1.jpg,6421723
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20150908_20170404_01_T1.jpg,8306487
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20151229_20170331_01_T1.jpg,6191639
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160114_20170405_01_T1.jpg,6718313
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160215_20170329_01_T1.jpg,6230120
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160302_20170328_01_T1.jpg,5649563
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160505_20170325_01_T1.jpg,5409051
